,text,positive,negative,neutral,result,
67,"pepsi jetblue i would love to take my family to hawaii or nyc, possibly nyc since my son's dream is to see the brooklyn bridge pepsi jetblue  zeroisnowboarding  sweepstakes",0.187,0,0.813,Positive,
70,pepsi jetblue the only reason i know you is from that ski rbi vid,0,0,1,Negative,
71,"rt maisanijah: cravings satisfied basta sb19 at pepsi ang kasama! ğŸ’¯

watch the pepsiphl new video here: 


sb19ofâ€¦",0.147,0,0.853,Neutral,
75,"thums up is the largest selling soft drinks brand in india. thums up generated more than rs 8,000 crores in sales last year.
softdrinks pepsi",0,0,1,Negative,
76,"rt kennchick: pablooooo wreck na wreck aq :( xori ken ang gwapo ng pinuno nyo huhu

netizensreport johnpaulonase for most handsome man aâ€¦",0.112,0.279,0.609,Negative,
77,"rt bbnijah: ang pogiiii ahhhckkk ğŸ˜­

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenreporâ€¦",0.26,0.127,0.613,Neutral,
78,"rt camszmc: ayyy puteeekkk ung pag upooooo at ung fit ng pants tapos may belt tamaakanaaaa ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­
himlay na himlay na kooo pabloo /*nanikipâ€¦",0.056,0.276,0.668,Negative,
82,fftmag pepsi d3datacast just canâ€™t be budlight,0,0,1,Negative,
85,"rt hairpinsnipablo: paubun to start your day! thank you ninang pepsiphl ğŸ’™

Â©ï¸ pepsiph tiktok

netizensreport johnpaulonase for most hanâ€¦",0.269,0,0.731,Positive,
87,perry_ron pepsi thank you sheâ€™s not doing good right now and iâ€™m really worried,0.136,0.266,0.598,Negative,
88,"coke is better than pepsi, but cherrypepsi is better than cherrycoke. and thatâ€™s the mctruth.",0.309,0,0.691,Positive,
93,"rt sb19boost: are you g to taste something new with pepsi philippines x sb19? 

tomorrow is the reveal! 04.20.2023 ğŸ’™

get ready, a'tin! foâ€¦",0.241,0,0.759,Positive,
97,"we're looking for pepsi to become the official soft drink of d3datacast. dms are open for business arrangements.

we've been to more championships than the detroit lions. 

d3hoops  ",0.115,0,0.885,Neutral,
1,"soy_eth questnutrition humnutrition herbalife nestle mtsnutrition team_optimum pepsi abbottnews glanbiaplc based soy! ğŸ«¡

i'm working with a fitness and nutritionist brand i'm onboarding into web3. 

tysm allowing brands to easily onboard ğŸ¥² i'll send you a dm ğŸ’ª",0.115,0,0.885,Neutral,
5,drdre nbcsports pepsi nfl rocnation the real â€œchristian funkâ€ a new style of religious dance music..  ,0,0,1,Negative,
6,"i performed with michael jackson in his 1984 pepsi: new generation commercial. i signed an nda.
pepsi ",0,0,1,Negative,
7,pablodriboldi pepsico pepsi how would you choose to celebrate?,0.316,0,0.684,Neutral,
9,tesla_is_trex pepsico pepsi you mean there's poison in the sugar?,0,0.28,0.72,Negative,
10,rt dfydigital_: pepsi combines planning processes with their biggest client walmart to enable delivery in under two hours and much more.â€¦,0,0,1,Negative,
20,pepsi please bring back lipton green apple green tea. thanks. good talk.,0.474,0,0.526,Positive,
25,the reason people drink pepsi and is the same reason we use it for battery corrosion cleaning. it wipes out all the dirt and scum and crud out of you. pepsi,0,0.074,0.926,Negative,
26,"rt keemstar: wings of redemption vs boogie2988! 
pepsi vs mtdew ğŸ”‹ ",0,0,1,Negative,
35,pepsico pepsi would love to try itğŸ˜,0.419,0,0.581,Positive,
49,"pepsi jetblue yikes this is tough! either greece, bali or ireland would be a dream! ğŸ’–ğŸ˜

zeroisnowboarding sweepstakes pepsi jetblue",0.358,0.045,0.597,Positive,
52,"guardianlink ceo discusses nft strategy and execution work it does for pepsi, cadbury, and la times 

guardian_nft ramkumartweet jumptradenft dberlind mdlz nft commerce pepsi blackpepsi polygon matic metaverse latimes superbowl ",0,0,1,Negative,
54,giancarlosopo dislike pepsi in any form. never even heard of this.,0,0.206,0.794,Negative,
60,pepsico pepsi sodas and milk dont go together !!!!! sodas and milk dont fuckingggg go together dont fuckingggg normalise it ğŸ¤¬ğŸ˜¤ğŸ˜¡ğŸ‘¿,0,0.113,0.887,Negative,
61,"photoshoots with domprints  e_muder we bodied this commercial
pepsi pepsimasmasarapmaiba 420day ",0,0,1,Negative,
63,rt tacobellpotatoe: pepsi pepsi is the subway of soft drinks,0,0,1,Negative,
64,londonknights pepsi letâ€™s finish this tonight boys goknightsgo,0,0,1,Negative,
65,londonknights pepsi go kights go!!!!,0,0,1,Negative,
68,"ayyy puteeekkk ung pag upooooo at ung fit ng pants tapos may belt tamaakanaaaa ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­
himlay na himlay na kooo pabloo /*nanikip ang dibdib ğŸ˜©ğŸ˜©ğŸ¤˜

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenreport

sb19_pablo sb19 pepsi ",0.122,0.229,0.649,Negative,
71,"reds 

for greg louisvillebats 

pepsi products. still no real money.

this is the year to give up the season tickets.

good luck.",0.218,0.081,0.701,Neutral,
73,pepsi jetblue ğŸ¤£ zeroisnowboarding sweepstakes jetblue fly at your own risk and yummy coke a pepsi ,0.257,0.082,0.661,Positive,
84,pepsi jetblue remember your last sweepstakes that involved an airplane?,0,0,1,Negative,
6,"rt todbphilippines: update ğŸ—“04.20.23 belle mariano updated her instagram profile photoğŸ’™

â€œpepsimasmasarapmaiba ğŸ£ğŸ¿ğŸ©â€

bellemariano belleâ€¦",0.181,0,0.819,Positive,
11,"rt moonchaserbelle: flex ko lang mga bias ko! my la luna and my bulan! lezgow ğŸ¤˜

imszmc felipsuperior 
sb19official sb19 pepsimasmasaâ€¦",0,0.079,0.921,Negative,
17,"ang pogiiii ahhhckkk ğŸ˜­

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenreport

sb19_pablo sb19 pepsi ",0.25,0.122,0.629,Neutral,
18,thread of polls to highlight how bad the recent penn state announcement is. coke versus pepsi,0.121,0.176,0.704,Negative,
20,pepsi jetblue zeroisnowboarding sweepstakes iâ€™d go to spain to see my kids!! pepsi jetblue,0,0,1,Negative,
21,"pepsi jetblue hawaii would be great
thanks, guys
zeroisnowboarding sweepstakes 
pepsi 
jetblue 
letâ€™s go!",0.378,0,0.622,Positive,
22,"pepsico pepsi noteworthy to all the activists in the field of forex and crypto stocks
---------------------------------------------
career opportunity without investment by joining amarkets broker partner program
----------------------------------------------
",0.097,0,0.903,Neutral,
24,"very proud of our measurable success, our beneficiaries and partnerships for decarbonizing industries in palestine (case of pepsi gaza) ğŸ™ğŸ¤©ğŸ‡ºğŸ‡³ğŸ‡µğŸ‡¸ğŸ‡ªğŸ‡º ",0.342,0,0.658,Positive,
26,"pepsi jetblue oh my gosh, spain to see my kids!!",0,0,1,Negative,
28,pepsi jetblue would love to go to wdw zeroisnowboarding sweepstakes pepsi jetblue,0.276,0,0.724,Positive,
30,"pepsi gaza after moustadama's energy audit and intervention:

â˜€ï¸ 1,517 mwh of annual generated energy (with an energy bill that drops by 90%!!!)

âš™ï¸ ee interventions saving up to 10-13% of total annual energy consumption

ğŸŒ¬ï¸ 456 of co2 tons annual reduction

powerup unido ",0.189,0,0.811,Positive,
33,pepsico pepsi even though the whole wo,0,0,1,Negative,
35,pepsi jetblue i want free stuff and iâ€™ll share it with friends! ğŸ¤—  zeroisnowboarding sweepstakes  pepsi and jetblue,0.481,0,0.519,Positive,
39,perry_ron pepsi and my bella boo my beautiful dog ,0.328,0,0.672,Neutral,
44,pepsi jetblue every nitro harley race in the season.,0,0,1,Negative,
47,cocacola_gb on a scale of 1 to buzzing how happy are you that pepsi uk has ruined the drink for everyone so coca cola is the new favourite pepsi ruinedpepsi changedrecipe,0.103,0.087,0.81,Negative,
50,"pepsi pepsi you know what the right answer is, tacobell you two are inseparable â¤ï¸",0,0,1,Negative,
52,papajohns pepsi i need some,0,0,1,Negative,
56,derekorwhatever disney apple google amazon verizon comcast cocacola pepsi cbs why are all the comments on this account's posts unrelated about sports i'm so confused,0.061,0.108,0.831,Negative,
60,"pepsi i'd go with my family to italy!
a dream vacation that we'd never be able to take together. ğŸ¥¹
to learn the origins of my family.
visit the places my ancestors lived in that stand to this day.
jetblue pepsi jetblue zeroisnowboarding ğŸ˜âœˆï¸ğŸ‡ğŸ«’ğŸ",0.099,0,0.901,Positive,
68,disney apple google amazon verizon comcast cocacola pepsi cbs when i scroll through twitter and see your ads next to posts like this from a verified account i associate your brand with this ,0.119,0,0.881,Neutral,
69,pepsico pepsi chestercheetah fritolayminis ,0,0,1,Negative,
71,"fordfield lions if there's no pepsi products, i won't be able to hydrate!!!!!",0,0.219,0.781,Negative,
73,detroitpodcast down. pepsi products are the only soft drinks i like. i don't drink alcohol therefore i won't be going to any games where i can't get a soft drink.,0.079,0,0.921,Neutral,
75,"pepsico pepsi chestercheetah fritolayminis just when i thought things couldn't get any hotter, chestercheetah goes and adds flamin' hot fritolayminis to pepsi zero sugar mini cans. my taste buds are sweating just thinking about it ğŸ”¥ğŸ”¥ğŸ”¥ toohottohandle",0,0.167,0.833,Negative,
76,"today's lunch:  homemade sub, fries, and an ice cold pepsiâ€¯â€¯â€¯ . nothing like it pepsi pepsicarolinas ",0,0.123,0.877,Negative,
78,pepsico pepsi chestercheetah fritolayminis oooooooooo my ğŸ˜‹,0,0,1,Negative,
79,what have you done to the pepsi seriously who ever authorized that new recipe sack them it's ruined your sales will reflect that  won't be buying pepsi awful aftertaste of sweetener it's shit    pepsi,0,0.275,0.725,Negative,
92,"benstiller if the truth is being tweeted, i'll follow.
no blue check required. 
...or are you acting? pepsi",0.112,0.107,0.78,Negative,
97,"kevincollier the solution is simple: if the agencies sell soft drinks, they can get free authentication like pepsi. ",0.351,0,0.649,Positive,
0,"they may be tiny, but these minis pack some mighty flavor! get pepsi zero sugar mini cans + chestercheetah flamin' hot fritolayminis on shelves now! ",0,0,1,Negative,
11,"okay as much as i hate gizelle and her tequila bottle, the pepsi scene with it was fantastic. pepsi rhugt3",0.21,0.141,0.649,Negative,
12,"i would head to greece or ireland pepsi jetblue if i had a choice of any wish list destinations.  but, i'm not greedy and would happily go to sanfrancisco or vegas instead. zeroisnowboarding  sweepstakes ",0.229,0,0.771,Positive,
22,"brian westbrook has adopted a proactive lifestyle in his transition from football to the corporate world.

college athletes like anna zhang are already becoming ""comfortable with being uncomfortable.""

(âš¡ï¸by pepsi) ",0.219,0.066,0.714,Positive,
25,"rt bobwelchy: i forgot to tell pepsico_uk that cola isnâ€™t meant to foam in your mouth, make your stomach ache and give you a headache. maâ€¦",0,0.094,0.906,Negative,
26,listen to great music like.... rockin' and rollin' with grandmaw by pepsi on !  listen on any device just go here ,0.266,0,0.734,Positive,
28,"rt sookiesooker: pepsico_uk thanks pepsi  for not having the decency to mention you've dumped aspartame in your product, which is poisonâ€¦",0.118,0.11,0.772,Negative,
29,rt philc22319718: pepsi jetblue change the recipe back in the uk before your profits crash with no survivors pepsi ripregularpepsi httâ€¦,0.112,0.19,0.698,Negative,
30,keverlast8000 pepsi thatâ€™s what pepsi does to ppl lol,0.259,0,0.741,Neutral,
34,pepsi pepsi and full sugar without any sweeteners in itâ€¦lol you forgot that though didnâ€™t you ğŸ¤­,0.138,0,0.862,Neutral,
37,pepsi justin_willman help i'm running out of pepsi and i ain't got no mo money what do i do i only have a drop of pepsi left,0.15,0.068,0.782,Neutral,
38,thea_lolita_86 pepsi destroyed it with 57% less sugar &amp, loaded it with foul tasting sweetner i was wondering why it was cheap. i can't do sweetner without a headache,0,0.103,0.897,Negative
39,"darrenwsterry jacknankivell pepsi i'm the same banging head dry mouth with sweetner, i took that crap back to tesco as i thought it was off that's &amp; why it was cheap. disgusting recipe pepsico uk",0,0.154,0.846,Negative,
40,drcarol52 pepsi justin_willman just as good as coke zero if not better,0.189,0.157,0.653,Negative,
41,pepsi justin_willman it's better than wine,0.367,0,0.633,Neutral,
42,pepsi justin_willman i need a pepsi right now.,0,0,1,Negative,
43,pepsi justin_willman not as good as coke zero,0,0.256,0.744,Negative,
47,pepsi justin_willman thatâ€™s very great,0.523,0,0.477,Positive,
48,britsoftdrinks pepsi pepsico vile &amp, horrible buy pepsi! i can't handle sweetner your new drink is foul,0,0.345,0.655,Negative
49,"rt skyajero_016: thank you ninang. miss na miss na po namin tong baby na to ğŸ¥º

netizensreport stellajero  for most handsome man alive mâ€¦",0.256,0.196,0.548,Neutral,
51,"salohcinstrebor it's disgusting actually had a slight reaction to it yesterday i can't tolerate sweetner. funny i thought it was off that's why it'd so cheap till i read the label, &amp; compared it to the old bottle. disingenuous pepsi",0,0.133,0.867,Negative,
54,"you donâ€™t need to be an influencer to travel for free! just tweet w/ zeroisnowboarding sweepstakes and tag pepsi and jetblue for your chance to win 1 in 100 free prizes, including zero-fee flights and vacation packages. safe flights yâ€™all!",0.357,0,0.643,Positive,
55,"pepsico pepsi sorry i like coke
i will survive whole day &amp; night if i drink only coke.",0.126,0.066,0.808,Negative,
58,pepsico pepsi honestly i would love this even if it killed me,0.348,0.217,0.435,Neutral,
68,algodtrading now add some pepsi and blend it !,0,0,1,Negative,
74,pepsi jetblue will this be like the pepsi jet? ğŸ¤£,0.322,0,0.678,Positive,
76,"rt bondelleenjoyer: kyot! si belle change icon tas si donny nagpost hahahahaha donbelle

engageğŸ”—  

donnypangilinâ€¦",0.152,0,0.848,Neutral,
79,lions really missed an opportunity with switching from pepsi to coke... i was really hoping for an icp faygo corner.  ,0.24,0.097,0.663,Neutral,
82,2 glasses of pepsi at home and canâ€™t understand why it tastes weird. oh cause the have cut the sugar content. vile pepsi tastesshit wouldhavebeencheapertobuyrolacola,0,0.264,0.736,Negative,
84,"rt sexxxyatin: stell's cutğŸ˜­

miss na missğŸ¤§ğŸ¤§ğŸ¤§

thank you ninang pepsiphl for the early ayuda before matulogğŸ˜­
matutulog po ng nakangiti poâ€¦",0.056,0.339,0.605,Negative,
86,"pepsi jetblue i would love to go to paris, thats on my bucket list for sure zeroisnowboarding sweepstakes pepsi jetblue",0.265,0,0.735,Positive,
88,my wife left me and took the kids pepsi jetblue zeroisnowboarding sweepstakes ,0,0,1,Negative,
94,wcnc therealelvira britneyspears jennymccarthy riverboatronhc mscharlottewwe mariashriver tiffanyashton_ danaperino juliecourttv dollyparton courttv amyearnhardt aliciasilv arseniohall snoopdogg shelbychong royalfamily em_i_am dalejr thejennymshow pepsi bbcr1 willienelson nasa officeofmelania drbiden ryanjnewman ab84 gqmagazine tunein paulmccartney hc_parks_rec jumpman23 citybeverageco wtob980 oldnickwhiskey gwenstefani jbmauney ricflairnatrboy potus clemmonsfire youtube danicapatrick f1 indycar nascar poloassociation budweiserusa if i said good afternoon. would ya know that's the same as good night just a different time. so hay yaw i am up for a late good afternoon,0.104,0,0.896,Positive,
96,"zeroisnowboarding sweepstakes  pepsi  jetblue
 take me with you!! i need to travel!",0,0,1,Negative,
0,keverlast8000 pepsi yes for those with sandboxes for mouths lol,0.407,0,0.593,Positive,
6,iamclaas we will hav to agree to disagree on this. pepsi is clearly the superior soft drink.,0.358,0.107,0.535,Positive,
16,"pablooooo wreck na wreck aq :( xori ken ang gwapo ng pinuno nyo huhu

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpaulonase
thenreport

sb19_pablo sb19 pepsiğŸ“·
sb19official
imszmc ",0.159,0.217,0.624,Negative,
17,"modern selfcare and productive capacity



wef forwardlooking wealthmanagement wealth financialplanning wealthbuilding investment money financialfreedom investing financialadvisor finance wef pepsi wisconsin lifesciences biotechnology",0.132,0,0.868,Neutral,
20,"i fail to understand how pepsi claims to be satisfied with the performance of the $tsla seeds ....
ğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜Š ",0.525,0.041,0.434,Positive,
28,"supershrimpcap cntrlscrut1nizr ron95803396 curiosity900 jabe8 insidernikola alanadler statsdman marmaledetto 999bpm lgm__2019 johnsnownw alexjohnston86 onlyaktien zorkmid123 medinapanea srmabekianj zack19192 andrewawski yatinkheti greenarrowinvst lizmilton11 onlyatkein joeysylvio capitalisttalk jones43346665 goncalves_marco msl0727 aaaldoaguilera jasonroycht nikolamotor iveco innercitypress univarsolutions pepsi shrimpy algo? you are killing me!
ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚",0.28,0.175,0.545,Positive,
30,"modern selfcare and productive capacity



wef forwardlooking wef pepsi repharma2023 productivity  propertyrights freemarkets workers prosperity niper medical scientistlife phdchat pharmaceuticals biology biological immunology postdoc",0,0,1,Negative,
60,carlmcjenkins pepsi fordfield dietcoke cokezero cocacola this is part of the lions culture change baby! ditch that mickey mouse pepsi this is a big league squad we need the big league soft drinks!  ğŸ˜‚ letâ€™s go win a fucking division!!! ğŸ˜¤ğŸ˜¤ğŸ˜¤ğŸ˜¤ğŸ˜¤,0.114,0.025,0.861,Positive,
71,"barrysachzesq kevinpistachio pepsi fordfield dietcoke cokezero cocacola you wish you were a douche revving harley engines. go hide in your shell, pistachio",0.104,0.162,0.734,Negative,
75,kevinpistachio carlmcjenkins pepsi fordfield dietcoke cokezero cocacola mcjenkins missing the bit ,0,0.18,0.82,Negative,
81,"carlmcjenkins pepsi fordfield dietcoke cokezero cocacola you should educate yourself 
",0,0,1,Negative,
82,apple has experienced most of its monumental growth after john sculley left it. so why read his memoir of his time there? because thereâ€™s a lot to learn. we review odyssey:  johnsculley1 apple stevejobs marketing pepsi advertising ceo cmo,0.064,0,0.936,Neutral,
84,kevinpistachio pepsi fordfield dietcoke cokezero cocacola dc drinkers hate gay people. wow.,0.217,0.211,0.571,Negative,
85,"lindsaylohan pepsi settle down, laverne!",0,0,1,Negative,
91,"do you remember this marketing stunt from pepsi in barcelona? 
what a great way to use drones and ar! 
ğŸ“½ï¸ weareflare_ 

football sport

jblefevre60 nicochan33 khulood_almani frronconi mvollmer1 curieuxexplorer kanezadiane shi4tech baski_la hana_elsayyed enilev ",0.114,0,0.886,Positive,
92,carlmcjenkins pepsi fordfield dietcoke cokezero cocacola this is a huge announcement and youâ€™re a fag. dc is goated,0.107,0.145,0.748,Negative,
93,rt dfydigital_: design of the end-user is the end and the beginning of the ai experience. - athinakanioura pepsi. not the least surprisâ€¦,0,0,1,Negative,
10,"slim cans offering less soda may not seem like a smart marketing move, but it's intentional. these efforts by major brands are targeting health-conscious consumers. read how they're doing it here. branding health cocacola pepsi tastingtable ",0.049,0.042,0.909,Negative,
11,"rt pangasinatin: pepsi's new tvc is out now! slmt ninang pepsi!!


pepsi sb19 sb19official â€¦",0,0,1,Negative,
13,pepsico pepsi more like perfect way to diabetes ğŸ§,0.429,0,0.571,Positive,
17,"iâ€™m only drinking pepsi now you cunts. iâ€™m boycotting coke everywhere, including games. what a stupid announcement. all excitement for nothing. fordfield dietcoke cokezero cocacola ",0.094,0.292,0.614,Negative,
20,"lionsfanaccount not after this bullshit. iâ€™m only drinking pepsi now you cunts. iâ€™m boycotting coke everywhere, including games. fordfield dietcoke cokezero cocacola",0,0.369,0.631,Negative,
40,"the inside of her mind must be very exciting! like poprocks in a sealed pepsi stripclubsaresaddiscosblog
stripclubsaresaddiscos dumpedtrump gopsedition cultoftrump  ",0.267,0,0.733,Positive,
42,pepsi jetblue sydney australia to visit my fiance,0,0,1,Negative,
45,"pepsi jetblue i would love a vacay! zeroisnowboarding
sweepstakes",0.36,0,0.64,Positive,
69,"rt vidyapolireddy: ğŸ‡¬ğŸ‡§ england premier league match day epl

ğŸ†š chelsea v brighton
â° sat 15 apr, 10:00 et

â–¶ï¸ stream on joyful iptv - theâ€¦",0.182,0.069,0.749,Neutral,
73,"design of the end-user is the end and the beginning of the ai experience. - athinakanioura pepsi. not the least surprised considering how they are big on designthinking. ğŸ‘ğŸ½

worldsummitai",0.043,0,0.957,Negative,
74,"pepsi and jetblue, if i could go anywhere, i'd take my family to a resort in vegas or orlando to unwind and relax after the temps start to drop on the east coast zeroisnowboarding sweepstakes",0.076,0.055,0.868,Negative,
82,"rt burning_mode: ğ˜¿ğ˜¼ğ™‰ğ™„ğ™€ğ™‡.ğ™† ğ˜Ÿ ğ™¥ğ™šğ™¥ğ™¨ğ™
ğ™ğ™šğ™›ğ™§ğ™šğ™¨ğ™ - ğ™‡ğ™¤ğ™£ğ™œğ™¬ğ™–ğ™£ğ™œ.ğ™«ğ™šğ™§ -
-
release on
2020.04.23 pm 6:00 (kst)
-
ê°•ë‹¤ë‹ˆì—˜ kangdaniel í©ì‹œ pepsi ë¦¬í”„ë ˆì‰¬ refâ€¦",0,0,1,Negative,
84,"rt burning_mode: ğ˜¿ğ˜¼ğ™‰ğ™„ğ™€ğ™‡.ğ™† ğ˜Ÿ ğ™¥ğ™šğ™¥ğ™¨ğ™
ğ™ğ™šğ™›ğ™§ğ™šğ™¨ğ™
-
release on
2020.04.23
-
ê°•ë‹¤ë‹ˆì—˜ kangdaniel í©ì‹œ pepsi ë¦¬í”„ë ˆì‰¬ refresh
konnect_danielk pepsi 
hâ€¦",0,0,1,Negative,
86,"pepsi combines planning processes with their biggest client walmart to enable delivery in under two hours and much more. ai digitaltransformation

athinakanioura worldsummitai ",0,0,1,Negative,
91,"rt szmcjpn: huehuehuehuehuehuehhehuehuehuehue ğŸ¥ºğŸ˜«ğŸ’§

netizensreport johnpaulonase for most handsome man alive mhma2023 mhma2023johnpauloâ€¦",0.273,0.125,0.602,Neutral,
98,"this or that

coloradorealtor hgdenver sellingdenver this that pepsi coke ",0,0,1,Negative,
